# ---------------------------------- Disclaimer -----------------------------------------,,,,,,,
# The reservoir data contained in this file are best estimates generated by the Texas    ,,,,,,,
# Water Development Board(TWDB) using data collected by various data providers as well   ,,,,,,,
# as by TWDB. For a detailed explaination of the methodology used please visit:          ,,,,,,,
#                                                                                        ,,,,,,,
#     http://waterdatafortexas.org/reservoirs/methodology                                ,,,,,,,
#                                                                                        ,,,,,,,
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     ,,,,,,,
# either expressed or implied with respect to the data or its fitness for any specific   ,,,,,,,
# application.                                                                           ,,,,,,,
# ---------------------------------------------------------------------------------------,,,,,,,
# ,,,,,,,
# Definitions:,,,,,,,
#     reservoir_storage = actual storage at measured lake elevation,,,,,,,
#     dead_pool_capacity = storage at dead pool elevation,,,,,,,
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity,,,,,,,
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity),,,,,,,
#     percent_full = 100 * conservation storage/conservation capacity,,,,,,,
# ,,,,,,,
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary,,,,,,,
# ,,,,,,,
# Estimated daily average data for Elephant Butte Lake,,,,,,,
#     generated: 2023-03-31T21:24:54.480746 UTC,,,,,,,
#     url: https://waterdatafortexas.org/reservoirs/individual/elephant-butte.csv,,,,,,,
# ,,,,,,,
# Footnote:,,,,,,,
#     ,,,,,,,
#         Elephant Butte Lake (located in New Mexico) is governed by the Rio Grande,,,,,,,
#         Compact. The Rio Grande Compact is an interstate compact signed in 1938,,,,,,,
"#         between the states of Colorado, New Mexico and Texas and approved by the",,,,,,,
"#         U.S. Congress, to equitably apportion the waters of the Rio Grande Basin.",,,,,,,
#         Water from the lake supplies irrigation water as well as a portion of El,,,,,,,
#         Paso's supply when available.,,,,,,,
#     ,,,,,,,
# ,,,,,,,
# Elevation-Area-Capacity rating curve(s) used:,,,,,,,
#     https://waterdatafortexas.org/reservoirs/individual/elephant-butte/rating-curve/USBR/2019-11-01,,,,,,,
# ,,,,,,,
# Conservation pool elevation(s) used:,,,,,,,
#     4407.0 feet above NGVD29 -43.3 (End date: 2020-01-01),,,,,,,
#     4406.297704 feet above NGVD29 -43.3 (Start date to end date: 2020-01-01 to 2020-04-01),,,,,,,
"#     4405.587736 feet above NGVD29 -43.3 (Start date: 2020-04-01, Seasonal: April 1 to October 1)",,,,,,,
"#     4406.297704 feet above NGVD29 -43.3 (Start date: 2020-04-01, Seasonal: October 1 to April 1)",,,,,,,
# ,,,,,,,
# Dead pool elevation(s) used:,,,,,,,
#     4231.5 feet above NGVD29 -43.3,,,,,,,
# ,,,,,,,
# Vertical datum(s) used:,,,,,,,
#     NGVD29 -43.3,,,,,,,
# ,,,,,,,
# Units:,,,,,,,
#     date: YYYY-MM-DD,,,,,,,
#     water_level: feet above vertical datum,,,,,,,
#     surface_area: acres,,,,,,,
#     storages: acre-feet,,,,,,,
# ,,,,,,,
# ,,,,,,,
date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
4/18/1916,4325,9919.91,305557,305557,15.2,2010900,0
4/19/1916,4325.1,9940.64,306550,306550,15.2,2010900,0
4/20/1916,4325.4,10002.84,309542,309542,15.4,2010900,0
4/21/1916,4325.7,10065.04,312552,312552,15.5,2010900,0
4/22/1916,4326,10127.24,315581,315581,15.7,2010900,0
4/23/1916,4326.3,10197.79,318630,318630,15.8,2010900,0
4/24/1916,4326.4,10221.3,319651,319651,15.9,2010900,0
4/25/1916,4326.5,10244.8,320674,320674,15.9,2010900,0
4/26/1916,4326.7,10291.81,322728,322728,16,2010900,0
4/27/1916,4326.9,10338.82,324791,324791,16.2,2010900,0
4/28/1916,4327.3,10432.85,328945,328945,16.4,2010900,0
4/29/1916,4327.7,10526.87,333137,333137,16.6,2010900,0
4/30/1916,4328.1,10616.16,337366,337366,16.8,2010900,0
5/1/1916,4329,10784.89,346997,346997,17.3,2010900,0
5/2/1916,4329.9,10953.62,356779,356779,17.7,2010900,0
5/3/1916,4330.8,11125.47,366715,366715,18.2,2010900,0
5/4/1916,4331.6,11278.55,375676,375676,18.7,2010900,0
5/5/1916,4332.3,11406.31,383617,383617,19.1,2010900,0
5/6/1916,4332.7,11474.59,388193,388193,19.3,2010900,0
5/7/1916,4333.3,11577.01,395109,395109,19.6,2010900,0
5/8/1916,4333.9,11679.43,402086,402086,20,2010900,0
5/9/1916,4334.7,11890.37,411510,411510,20.5,2010900,0
5/10/1916,4335.5,12111.91,421111,421111,20.9,2010900,0
5/11/1916,4336.4,12349.39,432121,432121,21.5,2010900,0
5/12/1916,4337.3,12572.2,443336,443336,22,2010900,0
5/13/1916,4338.2,12792.84,454751,454751,22.6,2010900,0
5/14/1916,4339,12982.19,465061,465061,23.1,2010900,0
5/15/1916,4340.4,13300.58,483466,483466,24,2010900,0
5/16/1916,4341.5,13525.17,498220,498220,24.8,2010900,0
5/17/1916,4342.7,13761.64,514594,514594,25.6,2010900,0
5/18/1916,4343.6,13934.39,527057,527057,26.2,2010900,0
5/19/1916,4344.3,14064.37,536858,536858,26.7,2010900,0
5/20/1916,4344.8,14153.01,543912,543912,27,2010900,0
5/21/1916,4345.2,14223.92,549587,549587,27.3,2010900,0
5/22/1916,4345.5,14277.11,553862,553862,27.5,2010900,0
5/23/1916,4345.7,14312.56,556721,556721,27.7,2010900,0
5/24/1916,4345.9,14348.01,559588,559588,27.8,2010900,0
5/25/1916,4346,14365.74,561023,561023,27.9,2010900,0
5/26/1916,4346.1,14382.55,562461,562461,28,2010900,0
5/27/1916,4346.1,14382.55,562461,562461,28,2010900,0
5/28/1916,4346.2,14399.37,563900,563900,28,2010900,0
5/29/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
5/30/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
5/31/1916,4346.7,14483.47,571120,571120,28.4,2010900,0
6/1/1916,4346.7,14483.47,571120,571120,28.4,2010900,0
6/2/1916,4346.8,14500.29,572570,572570,28.5,2010900,0
6/3/1916,4346.8,14500.29,572570,572570,28.5,2010900,0
6/4/1916,4346.8,14500.29,572570,572570,28.5,2010900,0
6/5/1916,4346.8,14500.29,572570,572570,28.5,2010900,0
6/6/1916,4346.7,14483.47,571120,571120,28.4,2010900,0
6/7/1916,4346.7,14483.47,571120,571120,28.4,2010900,0
6/8/1916,4346.7,14483.47,571120,571120,28.4,2010900,0
6/9/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/10/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/11/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
6/12/1916,4346.4,14433.01,566783,566783,28.2,2010900,0
6/13/1916,4346.3,14416.19,565340,565340,28.1,2010900,0
6/14/1916,4346.2,14399.37,563900,563900,28,2010900,0
6/15/1916,4346.3,14416.19,565340,565340,28.1,2010900,0
6/16/1916,4346.3,14416.19,565340,565340,28.1,2010900,0
6/17/1916,4346.4,14433.01,566783,566783,28.2,2010900,0
6/18/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
6/19/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
6/20/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/21/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/22/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/23/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/24/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/25/1916,4346.6,14466.65,569673,569673,28.3,2010900,0
6/26/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
6/27/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
6/28/1916,4346.3,14416.19,565340,565340,28.1,2010900,0
6/29/1916,4346.2,14399.37,563900,563900,28,2010900,0
6/30/1916,4346.1,14382.55,562461,562461,28,2010900,0
7/1/1916,4345.9,14348.01,559588,559588,27.8,2010900,0
7/2/1916,4345.6,14294.83,555291,555291,27.6,2010900,0
7/3/1916,4345.4,14259.38,552436,552436,27.5,2010900,0
7/4/1916,4345.1,14206.19,548166,548166,27.3,2010900,0
7/5/1916,4344.9,14170.74,545328,545328,27.1,2010900,0
7/6/1916,4344.6,14117.55,541085,541085,26.9,2010900,0
7/7/1916,4344.3,14064.37,536858,536858,26.7,2010900,0
7/8/1916,4344.1,14028.91,534048,534048,26.6,2010900,0
7/9/1916,4343.9,13991.98,531246,531246,26.4,2010900,0
7/10/1916,4343.8,13972.79,529848,529848,26.3,2010900,0
7/11/1916,4343.6,13934.39,527057,527057,26.2,2010900,0
7/12/1916,4343.4,13896.01,524274,524274,26.1,2010900,0
7/13/1916,4343.2,13857.62,521499,521499,25.9,2010900,0
7/14/1916,4343,13819.22,518731,518731,25.8,2010900,0
7/15/1916,4342.9,13800.03,517350,517350,25.7,2010900,0
7/16/1916,4342.7,13761.64,514594,514594,25.6,2010900,0
7/17/1916,4342.6,13742.44,513219,513219,25.5,2010900,0
7/18/1916,4342.5,13723.25,511845,511845,25.5,2010900,0
7/19/1916,4342.4,13704.05,510474,510474,25.4,2010900,0
7/20/1916,4342.3,13684.86,509105,509105,25.3,2010900,0
7/21/1916,4342.2,13665.66,507737,507737,25.2,2010900,0
7/22/1916,4342.2,13665.66,507737,507737,25.2,2010900,0
7/23/1916,4342,13627.26,505008,505008,25.1,2010900,0
7/24/1916,4341.9,13606.84,503646,503646,25,2010900,0
7/25/1916,4341.8,13586.43,502286,502286,25,2010900,0
7/26/1916,4341.6,13545.59,499573,499573,24.8,2010900,0
7/27/1916,4341.4,13504.75,496868,496868,24.7,2010900,0
7/28/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
7/29/1916,4341.1,13443.5,492826,492826,24.5,2010900,0
7/30/1916,4341.1,13443.5,492826,492826,24.5,2010900,0
7/31/1916,4341,13423.08,491483,491483,24.4,2010900,0
8/1/1916,4341,13423.08,491483,491483,24.4,2010900,0
8/2/1916,4341.1,13443.5,492826,492826,24.5,2010900,0
8/3/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/4/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/5/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/6/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/7/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/8/1916,4341.1,13443.5,492826,492826,24.5,2010900,0
8/9/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/10/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/11/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/12/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/13/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/14/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
8/15/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/16/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/17/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
8/18/1916,4341.5,13525.17,498220,498220,24.8,2010900,0
8/19/1916,4341.6,13545.59,499573,499573,24.8,2010900,0
8/21/1916,4341.9,13606.84,503646,503646,25,2010900,0
8/22/1916,4342,13627.26,505008,505008,25.1,2010900,0
8/23/1916,4342,13627.26,505008,505008,25.1,2010900,0
8/24/1916,4342.3,13684.86,509105,509105,25.3,2010900,0
8/25/1916,4342.1,13646.47,506371,506371,25.2,2010900,0
8/26/1916,4342.1,13646.47,506371,506371,25.2,2010900,0
8/27/1916,4342.2,13665.66,507737,507737,25.2,2010900,0
8/28/1916,4342,13627.26,505008,505008,25.1,2010900,0
8/29/1916,4342,13627.26,505008,505008,25.1,2010900,0
8/30/1916,4341.9,13606.84,503646,503646,25,2010900,0
8/31/1916,4341.8,13586.43,502286,502286,25,2010900,0
9/1/1916,4341.6,13545.59,499573,499573,24.8,2010900,0
9/2/1916,4341.7,13566.01,500929,500929,24.9,2010900,0
9/3/1916,4341.6,13545.59,499573,499573,24.8,2010900,0
9/4/1916,4341.6,13545.59,499573,499573,24.8,2010900,0
9/5/1916,4341.5,13525.17,498220,498220,24.8,2010900,0
9/6/1916,4341.4,13504.75,496868,496868,24.7,2010900,0
9/7/1916,4341.4,13504.75,496868,496868,24.7,2010900,0
9/8/1916,4341.3,13484.34,495519,495519,24.6,2010900,0
9/9/1916,4341.2,13463.92,494171,494171,24.6,2010900,0
9/10/1916,4341.1,13443.5,492826,492826,24.5,2010900,0
9/11/1916,4341,13423.08,491483,491483,24.4,2010900,0
9/12/1916,4340.9,13402.67,490141,490141,24.4,2010900,0
9/13/1916,4340.8,13382.25,488802,488802,24.3,2010900,0
9/14/1916,4340.7,13361.83,487465,487465,24.2,2010900,0
9/15/1916,4340.6,13341.41,486130,486130,24.2,2010900,0
9/16/1916,4340.5,13321,484797,484797,24.1,2010900,0
9/17/1916,4340.3,13280.16,482136,482136,24,2010900,0
9/18/1916,4340.2,13259.74,480810,480810,23.9,2010900,0
9/19/1916,4340.1,13239.32,479485,479485,23.8,2010900,0
9/20/1916,4340,13218.89,478162,478162,23.8,2010900,0
9/21/1916,4339.9,13195.22,476841,476841,23.7,2010900,0
9/22/1916,4339.7,13147.88,474207,474207,23.6,2010900,0
9/23/1916,4339.6,13124.21,472893,472893,23.5,2010900,0
9/24/1916,4339.6,13124.21,472893,472893,23.5,2010900,0
9/25/1916,4339.4,13076.87,470273,470273,23.4,2010900,0
9/26/1916,4339.2,13029.53,467662,467662,23.3,2010900,0
9/27/1916,4339,12982.19,465061,465061,23.1,2010900,0
9/28/1916,4338.9,12958.53,463764,463764,23.1,2010900,0
9/29/1916,4338.7,12911.18,461177,461177,22.9,2010900,0
9/30/1916,4338.5,12863.85,458600,458600,22.8,2010900,0
10/1/1916,4338.4,12840.18,457314,457314,22.7,2010900,0
10/2/1916,4338.2,12792.84,454751,454751,22.6,2010900,0
10/3/1916,4338,12745.5,452197,452197,22.5,2010900,0
10/4/1916,4337.8,12695.99,449653,449653,22.4,2010900,0
10/5/1916,4337.6,12646.47,447119,447119,22.2,2010900,0
10/6/1916,4337.5,12621.71,445855,445855,22.2,2010900,0
10/7/1916,4337.3,12572.2,443336,443336,22,2010900,0
10/8/1916,4337.3,12572.2,443336,443336,22,2010900,0
10/9/1916,4337.2,12547.45,442080,442080,22,2010900,0
10/10/1916,4336.9,12473.17,438327,438327,21.8,2010900,0
10/11/1916,4336.8,12448.42,437081,437081,21.7,2010900,0
10/12/1916,4336.9,12473.17,438327,438327,21.8,2010900,0
10/13/1916,4337,12497.93,439576,439576,21.9,2010900,0
10/14/1916,4337.6,12646.47,447119,447119,22.2,2010900,0
10/16/1916,4340.5,13321,484797,484797,24.1,2010900,0
10/17/1916,4340.5,13321,484797,484797,24.1,2010900,0
10/18/1916,4342.2,13665.66,507737,507737,25.2,2010900,0
10/19/1916,4342.7,13761.64,514594,514594,25.6,2010900,0
10/20/1916,4343,13819.22,518731,518731,25.8,2010900,0
10/21/1916,4343.5,13915.2,525665,525665,26.1,2010900,0
10/23/1916,4344.2,14046.64,535452,535452,26.6,2010900,0
10/24/1916,4344.4,14082.1,538265,538265,26.8,2010900,0
10/25/1916,4344.7,14135.28,542498,542498,27,2010900,0
10/26/1916,4344.9,14170.74,545328,545328,27.1,2010900,0
10/27/1916,4345.1,14206.19,548166,548166,27.3,2010900,0
10/28/1916,4345.4,14259.38,552436,552436,27.5,2010900,0
10/30/1916,4345.8,14330.29,558154,558154,27.8,2010900,0
10/31/1916,4346,14365.74,561023,561023,27.9,2010900,0
11/1/1916,4346.2,14399.37,563900,563900,28,2010900,0
11/2/1916,4346.5,14449.83,568227,568227,28.3,2010900,0
11/3/1916,4346.7,14483.47,571120,571120,28.4,2010900,0
11/4/1916,4346.8,14500.29,572570,572570,28.5,2010900,0
11/6/1916,4347.2,14567.58,578383,578383,28.8,2010900,0
11/7/1916,4347.4,14601.22,581300,581300,28.9,2010900,0
11/8/1916,4347.5,14618.04,582761,582761,29,2010900,0
11/9/1916,4347.6,14634.86,584224,584224,29.1,2010900,0
11/10/1916,4347.7,14651.68,585688,585688,29.1,2010900,0
11/11/1916,4347.8,14668.5,587154,587154,29.2,2010900,0
11/13/1916,4348.1,14717.66,591562,591562,29.4,2010900,0
11/14/1916,4348.2,14733.2,593035,593035,29.5,2010900,0
11/15/1916,4348.5,14779.82,597462,597462,29.7,2010900,0
11/16/1916,4348.4,14764.28,595984,595984,29.6,2010900,0
11/17/1916,4348.5,14779.82,597462,597462,29.7,2010900,0
11/18/1916,4348.6,14795.36,598940,598940,29.8,2010900,0
11/20/1916,4348.6,14795.36,598940,598940,29.8,2010900,0
11/21/1916,4349,14857.51,604871,604871,30.1,2010900,0
11/22/1916,4349,14857.51,604871,604871,30.1,2010900,0
11/23/1916,4349.1,14873.05,606357,606357,30.2,2010900,0
11/24/1916,4349.2,14888.59,607846,607846,30.2,2010900,0
11/25/1916,4349.3,14904.13,609335,609335,30.3,2010900,0
11/27/1916,4349.5,14935.21,612319,612319,30.4,2010900,0
11/28/1916,4349.4,14919.67,610826,610826,30.4,2010900,0
11/29/1916,4349.4,14919.67,610826,610826,30.4,2010900,0
11/30/1916,4349.4,14919.67,610826,610826,30.4,2010900,0
12/1/1916,4349.3,14904.13,609335,609335,30.3,2010900,0
12/2/1916,4349.2,14888.59,607846,607846,30.2,2010900,0
12/4/1916,4349.1,14873.05,606357,606357,30.2,2010900,0
12/5/1916,4349,14857.51,604871,604871,30.1,2010900,0
12/6/1916,4348.8,14826.43,601902,601902,29.9,2010900,0
12/7/1916,4348.6,14795.36,598940,598940,29.8,2010900,0
12/8/1916,4348.3,14748.74,594509,594509,29.6,2010900,0
